epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1055.67,1.0003,0.92763,1.08063,0.86815,0.53333,0.65323,0.39227,1.47834,1.67327,1.42949,0.0014753,0.0014753,0.0014753
55,1074.81,0.91242,0.82565,1.05149,0.70725,0.66667,0.67188,0.41863,1.49218,1.4801,1.42758,0.0014654,0.0014654,0.0014654
56,1095.31,1.00409,1.00081,1.19108,0.76612,0.73333,0.73862,0.44157,1.54984,1.43118,1.44798,0.0014555,0.0014555,0.0014555
57,1115.58,0.90772,0.85636,1.03141,0.7472,0.78878,0.73789,0.45561,1.64813,1.39088,1.51666,0.0014456,0.0014456,0.0014456
58,1141.6,1.00834,1.14546,1.15933,0.76649,0.73333,0.76905,0.45344,1.53431,1.42833,1.44166,0.0014357,0.0014357,0.0014357
59,1163.04,0.91126,0.87163,1.02009,0.67753,0.86667,0.75535,0.45377,1.49486,1.37005,1.46388,0.0014258,0.0014258,0.0014258
60,1182.32,0.9575,0.90336,1.05273,0.76286,0.66667,0.73777,0.40687,1.58095,1.44737,1.5026,0.0014159,0.0014159,0.0014159
61,1201.12,0.93577,0.83647,1.05955,0.82044,0.6,0.69962,0.40818,1.54444,1.573,1.45714,0.001406,0.001406,0.001406
62,1220.32,0.87072,0.81718,1.01803,0.83653,0.73333,0.81563,0.38348,1.58156,1.51742,1.43996,0.0013961,0.0013961,0.0013961
63,1239.05,0.84788,0.77425,1.01452,1,0.71927,0.81432,0.39616,1.68729,1.37762,1.48378,0.0013862,0.0013862,0.0013862
64,1257.82,0.88875,0.88995,0.989,1,0.72233,0.8175,0.45636,1.61663,1.26156,1.39445,0.0013763,0.0013763,0.0013763
65,1278.37,0.81773,0.79708,0.98897,0.98608,0.73333,0.80433,0.4917,1.51802,1.29058,1.33983,0.0013664,0.0013664,0.0013664
66,1298.32,0.88704,0.82412,1.07786,0.98656,0.73333,0.81385,0.51675,1.44412,1.28343,1.32922,0.0013565,0.0013565,0.0013565
67,1317.26,0.89948,0.76032,1.0307,1,0.79018,0.8497,0.48546,1.43774,1.18242,1.33366,0.0013466,0.0013466,0.0013466
68,1337.42,0.82573,0.79012,1.01125,0.98097,0.8,0.87685,0.48356,1.44508,1.18215,1.33255,0.0013367,0.0013367,0.0013367
69,1356.08,0.84415,0.79801,1.01913,0.81018,0.8543,0.8927,0.50989,1.45851,1.19826,1.34403,0.0013268,0.0013268,0.0013268
70,1374.81,0.86705,0.79174,1.02445,0.90607,0.73333,0.85294,0.48886,1.4782,1.13727,1.34599,0.0013169,0.0013169,0.0013169
71,1395.64,0.84812,0.78085,1.04637,0.90419,0.8,0.81785,0.48068,1.43773,1.26505,1.28901,0.001307,0.001307,0.001307
72,1415.31,0.82586,0.77,1.03881,0.775,0.69001,0.75994,0.44979,1.43352,1.41895,1.29353,0.0012971,0.0012971,0.0012971
73,1435.86,0.85423,0.80462,1.03765,0.82039,0.66667,0.74763,0.43384,1.40296,1.45158,1.31428,0.0012872,0.0012872,0.0012872
74,1456.21,0.91149,0.9063,1.07219,0.86874,0.6,0.71553,0.44034,1.31338,1.34019,1.28444,0.0012773,0.0012773,0.0012773
75,1476.11,0.79664,0.83874,0.99729,0.59654,0.8,0.7547,0.47589,1.34877,1.30811,1.35612,0.0012674,0.0012674,0.0012674
76,1497.75,0.7322,0.71257,0.96801,0.66025,0.66667,0.7382,0.47346,1.37095,1.27291,1.37823,0.0012575,0.0012575,0.0012575
77,1517.33,0.84603,0.94124,1.0654,0.57184,0.73333,0.67972,0.43912,1.45981,1.29013,1.49217,0.0012476,0.0012476,0.0012476
78,1537.4,0.79781,0.74171,0.99489,0.47282,0.73333,0.63475,0.40873,1.34117,1.34392,1.41472,0.0012377,0.0012377,0.0012377
79,1557.72,0.83772,0.77093,1.01743,0.5995,0.6,0.60347,0.41654,1.44347,1.37605,1.53095,0.0012278,0.0012278,0.0012278
80,1578.98,0.74662,0.71519,0.99795,0.68935,0.59231,0.62137,0.42017,1.49662,1.37969,1.46759,0.0012179,0.0012179,0.0012179
81,1599.16,0.76893,0.73903,1.021,0.74629,0.8,0.69763,0.43386,1.65598,1.38446,1.48185,0.001208,0.001208,0.001208
82,1618.11,0.78549,0.69804,0.97719,0.75828,0.8,0.7072,0.40114,1.62711,1.43873,1.40743,0.0011981,0.0011981,0.0011981
83,1637.46,0.84144,0.81076,1.0681,0.79283,0.8,0.7755,0.41398,1.55861,1.39456,1.36792,0.0011882,0.0011882,0.0011882
84,1656.05,0.81151,0.73139,0.99406,0.79114,0.8,0.80019,0.43949,1.53007,1.33361,1.36325,0.0011783,0.0011783,0.0011783
85,1676.14,0.73944,0.73812,1.00059,0.80882,0.73333,0.80689,0.43363,1.48683,1.39569,1.36847,0.0011684,0.0011684,0.0011684
86,1695.01,0.70305,0.69403,0.95707,0.7002,0.8,0.75224,0.38516,1.45082,1.43951,1.38424,0.0011585,0.0011585,0.0011585
87,1713.9,0.76229,0.63633,0.95044,0.6786,0.8,0.71905,0.40392,1.51282,1.46312,1.42091,0.0011486,0.0011486,0.0011486
88,1733.58,0.87109,0.81655,1.13268,0.73532,0.8,0.69936,0.41092,1.53731,1.46255,1.40024,0.0011387,0.0011387,0.0011387
89,1752.69,0.80806,0.75362,1.00113,0.69318,0.8,0.6952,0.4145,1.60423,1.4595,1.40156,0.0011288,0.0011288,0.0011288
90,1772.14,0.79325,0.77592,0.98772,0.7012,0.78302,0.6916,0.39898,1.52966,1.41201,1.36437,0.0011189,0.0011189,0.0011189
91,1792.37,0.81835,0.75703,1.01449,0.6615,0.78242,0.65093,0.39072,1.55791,1.40414,1.35708,0.001109,0.001109,0.001109
92,1811.47,0.74972,0.67531,0.96844,0.56474,0.8,0.61554,0.3528,1.50258,1.41888,1.31483,0.0010991,0.0010991,0.0010991
93,1830.09,0.75275,0.7646,1.00172,0.56179,0.77002,0.64361,0.38593,1.42777,1.35305,1.32369,0.0010892,0.0010892,0.0010892
94,1849.91,0.73032,0.63344,0.95689,0.86961,0.53333,0.6723,0.3934,1.40515,1.2623,1.34587,0.0010793,0.0010793,0.0010793
95,1869.22,0.76009,0.68901,1.00692,0.78016,0.73333,0.72674,0.46978,1.39995,1.17061,1.34474,0.0010694,0.0010694,0.0010694
96,1888.37,0.80117,0.70513,1.07574,0.77543,0.73333,0.72297,0.48726,1.42007,1.22229,1.33844,0.0010595,0.0010595,0.0010595
97,1907.26,0.71143,0.70263,1.00879,0.89433,0.73333,0.77137,0.52124,1.38021,1.11369,1.31362,0.0010496,0.0010496,0.0010496
98,1926.36,0.75219,0.70705,0.9524,0.90578,0.73333,0.79933,0.51031,1.37514,1.04422,1.2936,0.0010397,0.0010397,0.0010397
99,1945.66,0.78583,0.68929,1.02201,0.99181,0.8,0.89337,0.53567,1.35323,1.02068,1.28028,0.0010298,0.0010298,0.0010298
100,1964.42,0.72516,0.64,0.98912,0.9916,0.8,0.91287,0.55512,1.42052,1.03699,1.30679,0.0010199,0.0010199,0.0010199
101,1984.63,0.80428,0.7232,1.06084,0.99294,0.8,0.91242,0.56781,1.42539,0.98509,1.30371,0.00101,0.00101,0.00101
102,2004.37,0.74021,0.65326,0.9985,0.91905,0.86667,0.92495,0.56804,1.42476,0.95868,1.29722,0.0010001,0.0010001,0.0010001
103,2023.32,0.71952,0.63531,0.97512,0.93315,0.93078,0.93019,0.5359,1.48996,0.98929,1.34583,0.0009902,0.0009902,0.0009902
104,2042.37,0.8358,0.67846,1.03481,0.93122,0.93333,0.94263,0.51555,1.62947,1.03996,1.43855,0.0009803,0.0009803,0.0009803
105,2060.96,0.65801,0.62972,0.96155,0.91043,0.93333,0.92448,0.47704,1.68022,1.0556,1.49984,0.0009704,0.0009704,0.0009704
106,2080.11,0.78979,0.64744,0.96349,0.80737,0.83933,0.83029,0.45746,1.63469,1.07623,1.47273,0.0009605,0.0009605,0.0009605
107,2101.44,0.78363,0.79845,1.02603,0.92096,0.77797,0.81064,0.46554,1.61427,1.18183,1.47607,0.0009506,0.0009506,0.0009506
108,2120.99,0.73667,0.65762,0.99064,0.79585,0.8,0.78487,0.46314,1.52713,1.19008,1.43401,0.0009407,0.0009407,0.0009407
109,2141.66,0.67343,0.60871,0.95161,0.78673,0.8,0.76385,0.46342,1.50933,1.14534,1.41867,0.0009308,0.0009308,0.0009308
110,2160.99,0.74686,0.71296,0.99134,0.76201,0.85445,0.78417,0.4566,1.50848,1.07446,1.4085,0.0009209,0.0009209,0.0009209
111,2180.33,0.68469,0.57336,0.95404,0.83787,0.8,0.84218,0.47851,1.50973,1.01905,1.38473,0.000911,0.000911,0.000911
112,2199.34,0.69214,0.58794,0.96571,0.83306,0.8,0.85437,0.50613,1.44902,0.96894,1.34488,0.0009011,0.0009011,0.0009011
113,2218.22,0.77897,0.64537,1.05046,0.91447,0.8,0.86316,0.5199,1.43164,0.96972,1.32531,0.0008912,0.0008912,0.0008912
114,2237.16,0.7435,0.78224,0.99699,0.83064,0.73333,0.81221,0.50815,1.46546,1.04679,1.33023,0.0008813,0.0008813,0.0008813
115,2255.71,0.66346,0.60727,0.98661,0.79824,0.66667,0.78226,0.50655,1.45304,1.10388,1.33962,0.0008714,0.0008714,0.0008714
116,2274.9,0.70103,0.63955,0.99718,0.63693,0.81937,0.75389,0.48409,1.46225,1.18898,1.36297,0.0008615,0.0008615,0.0008615
117,2294.38,0.68943,0.57212,0.9657,0.66087,0.7803,0.74365,0.44956,1.46198,1.19202,1.37546,0.0008516,0.0008516,0.0008516
118,2313.13,0.84951,0.8362,1.089,0.78567,0.73333,0.77643,0.46261,1.45275,1.25159,1.38941,0.0008417,0.0008417,0.0008417
119,2331.89,0.71127,0.615,0.9638,0.71278,0.73333,0.7799,0.47833,1.43433,1.23197,1.38011,0.0008318,0.0008318,0.0008318
120,2350.97,0.71149,0.602,0.97095,0.73188,0.73333,0.82167,0.50844,1.41725,1.18014,1.36487,0.0008219,0.0008219,0.0008219
121,2369.72,0.66276,0.53646,0.97265,0.82863,0.66667,0.80821,0.50648,1.4249,1.15666,1.37095,0.000812,0.000812,0.000812
122,2388.46,0.65856,0.5389,0.95663,0.90008,0.60059,0.81081,0.49155,1.45754,1.09522,1.35453,0.0008021,0.0008021,0.0008021
123,2407.87,0.6358,0.54691,0.92743,0.72956,0.73333,0.81067,0.47248,1.49531,1.06699,1.36718,0.0007922,0.0007922,0.0007922
124,2426.88,0.65841,0.58911,0.93806,0.70444,0.79478,0.79672,0.48885,1.50671,1.0764,1.37865,0.0007823,0.0007823,0.0007823
125,2445.65,0.70694,0.57193,0.9961,0.73238,0.72998,0.78394,0.47055,1.51385,1.12954,1.38232,0.0007724,0.0007724,0.0007724
126,2464.94,0.74534,0.73505,0.9591,0.69601,0.8,0.78621,0.4704,1.51411,1.10696,1.38043,0.0007625,0.0007625,0.0007625
127,2485.28,0.66902,0.55832,0.93509,0.62787,0.8,0.77938,0.4605,1.55127,1.10412,1.40051,0.0007526,0.0007526,0.0007526
128,2504.21,0.64479,0.55135,0.93397,0.73739,0.66667,0.78334,0.47293,1.62227,1.11716,1.42645,0.0007427,0.0007427,0.0007427
129,2523.58,0.67441,0.55995,0.96479,0.67488,0.8,0.79345,0.49373,1.63462,1.1053,1.44232,0.0007328,0.0007328,0.0007328
130,2543.09,0.64292,0.57515,0.96653,0.78486,0.73333,0.79097,0.4914,1.66167,1.15402,1.45878,0.0007229,0.0007229,0.0007229
131,2561.77,0.58845,0.51584,0.90946,0.84181,0.73333,0.77936,0.48753,1.61938,1.24576,1.41382,0.000713,0.000713,0.000713
132,2581.08,0.64764,0.57933,0.96651,0.89809,0.73333,0.79443,0.5044,1.50519,1.34353,1.33468,0.0007031,0.0007031,0.0007031
133,2601.68,0.70484,0.57223,1.0205,0.85529,0.78874,0.7931,0.50681,1.43993,1.35555,1.28708,0.0006932,0.0006932,0.0006932
134,2621.88,0.57595,0.56471,0.90115,0.83074,0.8,0.79749,0.51765,1.46302,1.37349,1.27572,0.0006833,0.0006833,0.0006833
135,2640.49,0.56795,0.50038,0.93485,0.85515,0.78794,0.82102,0.53944,1.46936,1.2914,1.26482,0.0006734,0.0006734,0.0006734
136,2659.77,0.62132,0.5296,0.93603,0.83029,0.73333,0.82554,0.52276,1.43204,1.25848,1.24275,0.0006635,0.0006635,0.0006635
